,OBJECTID,NAME,NAME_AR,STOP_NUMBER,longitude,latitude
2207,279958,Access road  / Natural Reserves Managment,شارع داخلي / إدارة المحميات الطبيعية,94740,55.75405000000001,24.123476944000004
2208,279959,Khalifa Ibn Zayed St 135 / Kids Land Nursery,شارع خليفة بن زايد 135 / حضانة أرض الأطفال,93048,55.70348611100002,24.215046943999994
2209,279960,Sultan Bin Zayed St / Al Zafaranah Health Centre,شارع سلطان بن زايد /  عيادة الزعفرانة الطبية,469,54.43451611099999,24.433224999999993
2210,279961,Saif Ghobash St  / St 17,شارع سيف غباش / شارع 17,2475,54.452283056,24.422063055000024
2211,279962,E45-Dates collection center,ش 45-مركز جمع التمور,60424,53.78488694499998,23.243333888999985
2212,279963,Al Shabhat St 1 / Khalid Bin Al Waleed High School East,شارع الشبحات 1 / مدرسة خالد بن الوليد شرق,94230,55.79172305499998,24.19419499999998
2213,279964,St 40 / Emirates Transport,شارع 40 / مواصلات الإمارات,26594,54.69321500000001,24.560251944000015
2214,279965,St 17 / St 30,شارع 17 / شارع 30,22208,54.72170194400002,24.635298889000012
2215,279966,St 51 / St 16,شارع 51 / شارع 16,10591,54.53169500000001,24.324636111000018
2216,279967,Camel Race 5,ميدان سباق الهجن 5,66918,53.769048054999985,23.537558889000024
2217,279968,1st St  / Abattoir Public,شارع 1 / المسلخ العام,94434,55.820823055999995,24.159399999000016
2218,279969,E15-Descon Eng. Company,ش 15- شركة ديسكون الهندسية,80311,52.760618056,24.057041943
2219,279970,Khalifa Ibn Zayed Al Awwal St 122 / Al Otaibah Mosque,شارع خليفة بن زايد الأول 122 / مسجد العتيبة,94722,55.75598111199997,24.169236110999975
2220,279971,New Al Mafraq Hospital East,مستشفى المفرق الجديد شرق,15486,54.616638889,24.32475388900002
2221,279972,St 57 / Al Miqdad Al Kindy Mosque,شارع 57 / مسجد المقداد الكندي,40174,54.69170500000001,24.33230305500001
2222,279973,Hamdan Ibn Mohammed St 127 / Al Bateen Petrol Station,شارع حمدان بن محمد 127 / محطة وقود البطين,92237,55.63897611099998,24.218566110999973
2223,279974,Mohammed Ibn Zayed Al Awwal St 132 / Zayed Bin Mohamad Al Nahyan Palace,شارع محمد بن زايد الأول 132 / قصر الشيخ زايد بن محمد آل نهيان,92117,55.709353889,24.228728054999976
2224,279975,St 17 / St 12,شارع 17 / شارع 12,28094,54.66584611100001,24.548623055999997
2225,279976,Tamani Farms 2,مزارع تماني 2,65014,53.793648888999996,23.19577388900001
