,OBJECTID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,ONWANIDISTNAMEAR,ONWANIDISTNAMEENG,longitude,latitude
72,73,Attractions,Recreation & Tourism,Public Parks,حديقة البلدية,Al Ain Municipality Park,55.75017008,24.23103625,العين,Al Ain,المعترض,AL MUTAREDH,رملة أعواد شاهين,RAMLAT AAWAD SHAHEEN,المُعْتَرِض,Al Mu'tarid,55.750170078,24.231036253000013
73,74,Attractions,Recreation & Tourism,Public Parks,حديقة الباهية,Al Bahya Park,54.66306532,24.51408762,أبوظبي,Abu Dhabi,الباهية,AL BAHYA,الباهية القديمة,AL BAHYA OLD,البَاهية,Al Bahyah,54.663065324,24.514087624000013
74,75,Attractions,Recreation & Tourism,Public Parks,حديقة مكتب البريد ,Post Office Garden,54.37854737,24.49919729,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,شرق 14,E14,الزَّاهية,Al Zahiyah,54.378547371000025,24.499197294999988
75,76,Attractions,Recreation & Tourism,Public Parks,منتزه الوثبة,Al Wathba Park,54.70643737,24.24404272,أبوظبي,Abu Dhabi,النهضة,AL NAHDA,النهضة الجديدة,AL NAHDA AL JADEEDAH,الوَثْبَة,Al Wathbah,54.706437369000014,24.244042717000013
76,77,Attractions,Recreation & Tourism,Public Parks,حديقة عامة,Public Garden,54.36468802,24.4615167,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 14_1,W14_01,المَنهَل,Al Manhal,54.36468801500001,24.461516701999983
77,78,Attractions,Recreation & Tourism,Public Parks,المنتزة الجنوبي,Yas Gateway Park South,54.62368522,24.48753291,أبوظبي,Abu Dhabi,جزيرة ياس,YAS ISLAND,ياس جنوب 7,YS7,جزيرة ياس,Jazeerat Yas,54.623685223999985,24.487532911000017
78,79,Attractions,Recreation & Tourism,Public Parks,حديقة عامة,Public Garden,54.36372434,24.45678454,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 18_1,W18_01,المَنهَل,Al Manhal,54.36372433700001,24.45678454
79,80,Attractions,Recreation & Tourism,Public Parks,حديقة النزهة,Recreation Park,54.36471662,24.49832807,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,شرق 9_1,E9_01,الدَّانَةْ,Al Danah,54.36471661600001,24.49832806500001
80,81,Attractions,Recreation & Tourism,Public Parks,حديقة مشرف للأطفال,Mushrif Kids Park,54.39124568,24.44338292,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 46_1,W46_01,المُشرِف,Al Mushrif,54.39124567800002,24.443382918999987
81,82,Attractions,Recreation & Tourism,Public Parks,حديقة عامة,Public Garden,54.35524436,24.45377926,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 18_3,W18_03,البطين,Al Bateen,54.35524435799999,24.453779261000022
